track_id,dataset,caption_raw,caption_masked,metadata,n_aspects_stripped
mtat_2,mtat,BWV54 - I Aria. J.S. Bach Solo Cantatas. American Bach Soloists,BWV54 - I Aria. J.S. Bach Solo Cantatas. American Bach Soloists,BWV54 - I Aria. J.S. Bach Solo Cantatas. American Bach Soloists,0
mtat_6,mtat,BWV54 - I Aria. J.S. Bach Solo Cantatas. American Bach Soloists,BWV54 - I Aria. J.S. Bach Solo Cantatas. American Bach Soloists,BWV54 - I Aria. J.S. Bach Solo Cantatas. American Bach Soloists,0
mtat_10,mtat,BWV54 - I Aria. J.S. Bach Solo Cantatas. American Bach Soloists,BWV54 - I Aria. J.S. Bach Solo Cantatas. American Bach Soloists,BWV54 - I Aria. J.S. Bach Solo Cantatas. American Bach Soloists,0
mtat_11,mtat,BWV54 - I Aria. J.S. Bach Solo Cantatas. American Bach Soloists,BWV54 - I Aria. J.S. Bach Solo Cantatas. American Bach Soloists,BWV54 - I Aria. J.S. Bach Solo Cantatas. American Bach Soloists,0
mtat_12,mtat,BWV54 - I Aria. J.S. Bach Solo Cantatas. American Bach Soloists,BWV54 - I Aria. J.S. Bach Solo Cantatas. American Bach Soloists,BWV54 - I Aria. J.S. Bach Solo Cantatas. American Bach Soloists,0
mtat_14,mtat,Contimune. LVX Nova. LVX Nova,Contimune. LVX Nova. LVX Nova,Contimune. LVX Nova. LVX Nova,0
mtat_21,mtat,Contimune. LVX Nova. LVX Nova,Contimune. LVX Nova. LVX Nova,Contimune. LVX Nova. LVX Nova,0
mtat_23,mtat,Contimune. LVX Nova. LVX Nova,Contimune. LVX Nova. LVX Nova,Contimune. LVX Nova. LVX Nova,0
mtat_29,mtat,Gleichwie der Regen und Schnee vom Himmel fallt BWV 18_ I Sinfonia. J.S. Bach - Cantatas Volume V. American Bach Soloists,Gleichwie der Regen und Schnee vom Himmel fallt BWV 18_ I Sinfonia. J.S. Bach - Cantatas Volume V. American Bach Soloists,Gleichwie der Regen und Schnee vom Himmel fallt BWV 18_ I Sinfonia. J.S. Bach - Cantatas Volume V. American Bach Soloists,0
mtat_32,mtat,Lesson 1 in G Major_ Prelude (James Nares). Portrait of an English Harpsichord. Steven Devine,Lesson 1 in G Major_ Prelude (James Nares). Portrait of an English Harpsichord. Steven Devine,Lesson 1 in G Major_ Prelude (James Nares). Portrait of an English Harpsichord. Steven Devine,0
mtat_33,mtat,Lesson 1 in G Major_ Prelude (James Nares). Portrait of an English Harpsichord. Steven Devine,Lesson 1 in G Major_ Prelude (James Nares). Portrait of an English Harpsichord. Steven Devine,Lesson 1 in G Major_ Prelude (James Nares). Portrait of an English Harpsichord. Steven Devine,0
mtat_37,mtat,Linda Morena. Jetuton Andawai. The Headroom Project,Linda Morena. Jetuton Andawai. The Headroom Project,Linda Morena. Jetuton Andawai. The Headroom Project,0
mtat_38,mtat,Linda Morena. Jetuton Andawai. The Headroom Project,Linda Morena. Jetuton Andawai. The Headroom Project,Linda Morena. Jetuton Andawai. The Headroom Project,0
mtat_39,mtat,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,0
mtat_40,mtat,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,0
mtat_44,mtat,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,0
mtat_48,mtat,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,0
mtat_49,mtat,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,0
mtat_50,mtat,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,0
mtat_51,mtat,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,0
mtat_53,mtat,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,0
mtat_56,mtat,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,0
