ytid,start_s,end_s,is_audioset_eval,path,status,duration_s
-0Gj8-vB1q4,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-0Gj8-vB1q4_30_40.mp3,ok,10.0
-0SdAVK79lg,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-0SdAVK79lg_30_40.mp3,ok,10.0
-0vPFx-wRRI,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-0vPFx-wRRI_30_40.mp3,ok,10.0
-0xzrMun0Rs,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-0xzrMun0Rs_30_40.mp3,ok,10.0
-1LrH01Ei1w,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-1LrH01Ei1w_30_40.mp3,ok,10.0
-1OlgJWehn8,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-1OlgJWehn8_30_40.mp3,ok,10.0
-1UWSisR2zo,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-1UWSisR2zo_30_40.mp3,ok,10.0
-3Kv4fdm7Uk,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-3Kv4fdm7Uk_30_40.mp3,ok,10.0
-4NLarMj4xU,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-4NLarMj4xU_30_40.mp3,ok,10.0
-4SYC2YgzL8,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-4SYC2YgzL8_30_40.mp3,ok,10.0
-5FoeegAgvU,230,240,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-5FoeegAgvU_230_240.mp3,ok,10.0
-5f6hjZf9Yw,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-5f6hjZf9Yw_30_40.mp3,ok,10.0
-5xOcMJpTUk,70,80,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-5xOcMJpTUk_70_80.mp3,ok,10.0
-6HBGg1cAI0,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-6HBGg1cAI0_30_40.mp3,ok,10.0
-6QGvxvaTkI,280,290,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-6QGvxvaTkI_280_290.mp3,ok,10.0
-6pcgdLfb_A,110,120,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-6pcgdLfb_A_110_120.mp3,ok,10.0
-7B9tPuIP-w,450,460,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-7B9tPuIP-w_450_460.mp3,ok,10.0
-7wUQP6G5EQ,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-7wUQP6G5EQ_30_40.mp3,ok,10.0
-88me9bBzrk,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-88me9bBzrk_30_40.mp3,ok,10.0
-8C-gydUbR8,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-8C-gydUbR8_30_40.mp3,ok,10.0
-8cgbhIR_pw,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-8cgbhIR_pw_30_40.mp3,ok,10.0
-BHPu-dPmWQ,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-BHPu-dPmWQ_30_40.mp3,ok,10.0
-BIMKnb3tlo,410,420,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-BIMKnb3tlo_410_420.mp3,ok,10.0
-Bu7YaslRW0,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-Bu7YaslRW0_30_40.mp3,ok,10.0
-ByoSbgzr4M,0,10,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-ByoSbgzr4M_0_10.mp3,ok,10.0
-CUp_Tmg2Y0,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-CUp_Tmg2Y0_30_40.mp3,ok,10.0
-DeAdhYKbGE,290,300,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-DeAdhYKbGE_290_300.mp3,ok,10.0
-Dtir74TiUM,40,50,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-Dtir74TiUM_40_50.mp3,ok,10.0
-EVRXQpt1-8,50,60,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-EVRXQpt1-8_50_60.mp3,ok,10.0
-FEPOSP7ay0,260,270,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-FEPOSP7ay0_260_270.mp3,ok,10.0
-FFx68qSAuY,190,200,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-FFx68qSAuY_190_200.mp3,ok,10.0
-FlvaZQOr2I,90,100,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-FlvaZQOr2I_90_100.mp3,ok,10.0
-Gf4Ihv1zwc,50,60,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-Gf4Ihv1zwc_50_60.mp3,ok,10.0
-IZbvEO9wzU,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-IZbvEO9wzU_30_40.mp3,ok,10.0
