ytid,status,path,duration_s,error
-kpR93atgd8,missing,,,ERROR: [youtube] -kpR93atgd8: Video unavailable
0J_2K1Gvruk,missing,,,ERROR: [youtube] 0J_2K1Gvruk: Private video
-sevczF5etI,missing,,,ERROR: [youtube] -sevczF5etI: This video is unavailable
03frQGyrgQ4,missing,,,ERROR: [youtube] 03frQGyrgQ4: Private video
1SO5RJLWKAs,missing,,,ERROR: [youtube] 1SO5RJLWKAs: This video is unavailable
0khKvVDyYV4,missing,,,ERROR: [youtube] 0khKvVDyYV4: This video is unavailable
0i8VM_EooCs,missing,,,ERROR: [youtube] 0i8VM_EooCs: Video unavailable
0VsjSa1X7iA,missing,,,ERROR: [youtube] 0VsjSa1X7iA: Private video
1YPYQP6yupA,missing,,,ERROR: [youtube] 1YPYQP6yupA: Private video
1TyOPtg0Yfk,missing,,,ERROR: [youtube] 1TyOPtg0Yfk: Video unavailable
1i1sbQOILb0,missing,,,ERROR: [youtube] 1i1sbQOILb0: This video is unavailable
25Ccp8usBtE,missing,,,ERROR: [youtube] 25Ccp8usBtE: Video unavailable
25RWrqQol7Y,missing,,,ERROR: [youtube] 25RWrqQol7Y: Private video
2G5bSYHcJSM,missing,,,ERROR: [youtube] 2G5bSYHcJSM: Video unavailable
2hgvuYGc95o,missing,,,ERROR: [youtube] 2hgvuYGc95o: Private video
32C6w8V7TX8,missing,,,ERROR: [youtube] 32C6w8V7TX8: Private video
3TO4C7SiC7I,missing,,,ERROR: [youtube] 3TO4C7SiC7I: Video unavailable
3obJKn19jTE,missing,,,ERROR: [youtube] 3obJKn19jTE: Private video
3VEMHWnewuc,missing,,,ERROR: [youtube] 3VEMHWnewuc: Video unavailable
42xehaGoJbc,missing,,,ERROR: [youtube] 42xehaGoJbc: This video is unavailable
4Psyk_xyBl0,missing,,,ERROR: [youtube] 4Psyk_xyBl0: This video is unavailable
4ymXDU-48EE,missing,,,ERROR: [youtube] 4ymXDU-48EE: Private video
5Y_mT93tkvQ,missing,,,ERROR: [youtube] 5Y_mT93tkvQ: Video unavailable
577NM64YL18,missing,,,ERROR: [youtube] 577NM64YL18: Sign in to confirm your age. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dl
63rqIYPHvlc,missing,,,ERROR: [youtube] 63rqIYPHvlc: Private video
73YTz8RC2Fo,missing,,,ERROR: [youtube] 73YTz8RC2Fo: Video unavailable
6_zzu2KON6c,missing,,,ERROR: [youtube] 6_zzu2KON6c: Private video
7EvLwfwRrqA,missing,,,ERROR: [youtube] 7EvLwfwRrqA: This video is unavailable
7LGLhQFiE0s,missing,,,ERROR: [youtube] 7LGLhQFiE0s: Private video
7nrOZXbpXBo,missing,,,ERROR: [youtube] 7nrOZXbpXBo: Video unavailable
8Y0FRjkX9xI,missing,,,ERROR: [youtube] 8Y0FRjkX9xI: This video is unavailable
8FZb_R2UANY,missing,,,ERROR: [youtube] 8FZb_R2UANY: Video unavailable
8ZK1ajW598M,missing,,,ERROR: [youtube] 8ZK1ajW598M: This video is unavailable
8hT2G2ew6-c,missing,,,ERROR: [youtube] 8hT2G2ew6-c: This video is unavailable
8olHAhUKkuk,missing,,,ERROR: [youtube] 8olHAhUKkuk: This video is unavailable
9ZeoYezrI7Q,missing,,,ERROR: [youtube] 9ZeoYezrI7Q: Private video
A2bI-MIIJfU,missing,,,ERROR: [youtube] A2bI-MIIJfU: Private video
AFWy1qyyMHE,missing,,,ERROR: [youtube] AFWy1qyyMHE: Video unavailable
AaUZb-iRStE,missing,,,ERROR: [youtube] AaUZb-iRStE: This video is unavailable
Ah_aYOGnQ_I,missing,,,ERROR: [youtube] Ah_aYOGnQ_I: This video has been removed for violating YouTube's Terms of Service
AtJ2RXQ98kY,missing,,,ERROR: [youtube] AtJ2RXQ98kY: This video is unavailable
B7iRvj8y9aU,missing,,,ERROR: [youtube] B7iRvj8y9aU: Video unavailable
BKQYrrJVg6g,missing,,,ERROR: [youtube] BKQYrrJVg6g: This video is unavailable
Bd0PbyrG6H4,missing,,,ERROR: [youtube] Bd0PbyrG6H4: Video unavailable
BeFzozm_H5M,missing,,,ERROR: [youtube] BeFzozm_H5M: Private video
BiQik0xsWxk,missing,,,ERROR: [youtube] BiQik0xsWxk: Video unavailable
C6-JxDWYJ-A,missing,,,ERROR: [youtube] C6-JxDWYJ-A: Video unavailable
C7OIuhWSbjU,missing,,,ERROR: [youtube] C7OIuhWSbjU: This video is unavailable
CCFYOw8keiI,missing,,,ERROR: [youtube] CCFYOw8keiI: This video is unavailable
CaCjiFUL6Fg,missing,,,ERROR: [youtube] CaCjiFUL6Fg: Video unavailable
CyFsI_EYFQQ,missing,,,ERROR: [youtube] CyFsI_EYFQQ: Private video
Czbi1u-gwUU,missing,,,ERROR: [youtube] Czbi1u-gwUU: Video unavailable
D8-x1T8M4gk,missing,,,ERROR: [youtube] D8-x1T8M4gk: This video is unavailable
DGlP6oTqe5Y,missing,,,ERROR: [youtube] DGlP6oTqe5Y: Video unavailable
BpLUOKHl51E,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\BpLUOKHl51E_0_10.wav,10.0,
CyiPyjYX6AE,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\CyiPyjYX6AE_30_40.wav,10.0,
D7z2Q-hH25s,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\D7z2Q-hH25s_30_40.wav,10.0,
DHDn79ee98Q,missing,,,ERROR: [youtube] DHDn79ee98Q: This video is unavailable
DpS_TigOHWo,missing,,,ERROR: [youtube] DpS_TigOHWo: This video is unavailable
DysXetu2I0E,missing,,,ERROR: [youtube] DysXetu2I0E: This video is unavailable
EfUUgsioXyU,missing,,,ERROR: [youtube] EfUUgsioXyU: Private video
EhFWLbNBOxc,missing,,,ERROR: [youtube] EhFWLbNBOxc: This video is unavailable
EsHXnkZ_W2c,missing,,,ERROR: [youtube] EsHXnkZ_W2c: Video unavailable
F3uf_RleI3E,missing,,,ERROR: [youtube] F3uf_RleI3E: Private video
FYwDTJtEzhk,missing,,,ERROR: [youtube] FYwDTJtEzhk: Video unavailable
