tag_index,threshold,support,n_evaluated,precision,recall,f1,auc_pr
0,0.19,698,3500,0.46352723915050786,0.7191977077363897,0.5637282425603594,0.5913651077342675
1,0.45,527,3500,0.631858407079646,0.6774193548387096,0.6538461538461537,0.6398366770149179
2,0.17,477,3500,0.29244444444444445,0.689727463312369,0.4107365792759051,0.3554879162867257
3,0.17,333,3500,0.2875,0.7597597597597597,0.4171475680131904,0.36868943659723635
4,0.54,674,3500,0.6403940886699507,0.771513353115727,0.6998654104979812,0.7493098700915874
5,0.09,542,3500,0.3515687851971038,0.8062730627306273,0.4896358543417367,0.4665667854353028
6,0.44,546,3500,0.4552980132450331,0.5036630036630036,0.4782608695652174,0.4347250186878205
7,0.2,528,3500,0.4103831891223733,0.6287878787878788,0.4966342557965594,0.46042330818944116
8,0.14,405,3500,0.17683881064162754,0.5580246913580247,0.2685680332739156,0.18266514238171874
9,0.11,360,3500,0.511437908496732,0.8694444444444445,0.6440329218106995,0.7763504093410026
10,0.28,492,3500,0.4154818325434439,0.5345528455284553,0.46755555555555556,0.49722422684143885
11,0.2,181,3500,0.2251655629139073,0.56353591160221,0.3217665615141956,0.33428161085437974
12,0.46,386,3500,0.7313432835820896,0.5077720207253886,0.599388379204893,0.6396016984873094
13,0.25,231,3500,0.38857142857142857,0.2943722943722944,0.3349753694581281,0.3134463913843936
14,0.2,344,3500,0.4699828473413379,0.7965116279069767,0.5911542610571736,0.7691683698603141
15,0.11,401,3500,0.35851318944844124,0.7456359102244389,0.48421052631578937,0.5399316366577892
16,0.29,457,3500,0.4940239043824701,0.8140043763676149,0.6148760330578512,0.6048251647246787
17,0.26,273,3500,0.24008350730688935,0.42124542124542125,0.3058510638297872,0.22834651285035587
18,0.08,183,3500,0.1400560224089636,0.273224043715847,0.18518518518518517,0.11885258988710884
19,0.06,241,3500,0.19558676028084251,0.8091286307053942,0.3150242326332795,0.2684378820234287
20,0.35000000000000003,41,3500,0.21428571428571427,0.36585365853658536,0.27027027027027023,0.28040114181919606
21,0.17,328,3500,0.6184486373165619,0.899390243902439,0.732919254658385,0.8128584295847965
22,0.25,141,3500,0.5485232067510548,0.9219858156028369,0.6878306878306878,0.9012402379089915
23,0.23,141,3500,0.25675675675675674,0.40425531914893614,0.31404958677685946,0.21482486492627578
24,0.3,193,3500,0.31833910034602075,0.47668393782383417,0.38174273858921165,0.29371485982146284
25,0.18,126,3500,0.20930232558139536,0.35714285714285715,0.2639296187683285,0.1871411462571584
26,0.06,142,3500,0.1678832116788321,0.323943661971831,0.22115384615384612,0.12589756425037488
27,0.08,172,3500,0.24703557312252963,0.7267441860465116,0.3687315634218289,0.37535445700134396
28,0.13,117,3500,0.1676300578034682,0.49572649572649574,0.25053995680345575,0.1806647976627768
29,0.17,186,3500,0.5,0.9516129032258065,0.6555555555555556,0.8725836365394046
30,0.6,15,3500,0.0,0.0,0.0,0.03600513874046273
31,0.08,69,3500,0.07058823529411765,0.43478260869565216,0.12145748987854249,0.08947163773954131
32,0.11,123,3500,0.18867924528301888,0.08130081300813008,0.11363636363636365,0.09395775145741926
33,0.11,80,3500,0.16374269005847952,0.7,0.26540284360189575,0.2477047535779368
34,0.25,176,3500,0.3287671232876712,0.4090909090909091,0.36455696202531646,0.2957656215747315
35,0.01,81,3500,0.09775641025641026,0.7530864197530864,0.17304964539007092,0.12695567837394053
36,0.11,101,3500,0.46524064171123,0.8613861386138614,0.6041666666666667,0.5943310784152818
37,0.02,162,3500,0.19848771266540643,0.6481481481481481,0.3039073806078148,0.2507371438412256
38,0.04,52,3500,0.04516129032258064,0.1346153846153846,0.06763285024154589,0.037564056381521445
39,0.02,30,3500,0.0912280701754386,0.8666666666666667,0.16507936507936508,0.23998695371510725
40,0.11,51,3500,0.09433962264150944,0.29411764705882354,0.14285714285714288,0.07603417347588723
41,0.03,49,3500,0.023668639053254437,0.16326530612244897,0.04134366925064599,0.02181160696825938
42,0.1,27,3500,0.23529411764705882,0.14814814814814814,0.1818181818181818,0.15811539992960463
43,0.05,54,3500,0.025806451612903226,0.14814814814814814,0.04395604395604395,0.031143517432225144
44,0.0,60,3500,0.017142857142857144,1.0,0.033707865168539325,0.4122787550589351
45,0.2,53,3500,0.27692307692307694,0.6792452830188679,0.3934426229508197,0.2940355795131712
46,0.0,68,3500,0.019428571428571427,1.0,0.03811659192825112,0.1055547187638275
47,0.02,30,3500,0.027624309392265192,0.3333333333333333,0.05102040816326531,0.02294284178686886
48,0.04,63,3500,0.07992895204262877,0.7142857142857143,0.14376996805111822,0.0905902569707893
49,0.02,60,3500,0.04176904176904177,0.2833333333333333,0.0728051391862955,0.04923366518098197
